,deso,q1_pct,q2_pct,q3_pct,q4_pct,median_tkr,avg_tkr,tot_pop
113,0180C2140,22,24,29,25,279.4,293.0,2085
114,0180C2150,40,30,21,9,211.9,231.1,2090
115,0180C2160,29,31,25,16,244.0,262.5,1703
116,0180C2170,11,14,23,51,366.1,415.9,1350
117,0180C2180,31,27,25,18,242.4,264.0,1860
118,0180C2190,8,11,24,57,385.7,428.2,1620
119,0180C2200,25,28,25,23,259.2,286.8,1538
120,0180C2210,26,24,30,20,263.7,289.0,1421
121,0180C2220,14,34,26,26,273.8,316.6,1801
122,0180C2230,28,23,29,20,262.7,285.3,1408
123,0180C2240,17,26,29,28,289.0,321.0,1765
124,0180C2250,43,27,21,9,211.6,230.8,2203
125,0180C2260,26,27,27,20,259.7,286.8,1567
126,0180C2270,24,25,26,24,267.3,289.1,1771
127,0180C2280,43,23,19,15,211.4,245.1,2100
128,0180C2290,32,24,28,16,244.4,264.0,2106
129,0180C2300,6,13,22,59,393.7,435.7,2375
130,0180C2310,22,23,26,29,280.0,309.3,1658
131,0180C2320,15,21,31,32,301.4,321.8,1954
132,0180C2330,23,22,26,29,284.9,309.1,1855
133,0180C2340,34,28,23,15,234.9,245.8,2041
134,0180C2350,18,18,20,45,335.5,406.9,1914
135,0180C2360,21,22,28,29,286.2,305.7,1546
136,0180C2370,16,18,28,38,321.9,345.4,1616
137,0180C2380,11,15,30,44,337.9,366.1,1544
138,0180C2390,34,15,22,29,269.4,295.0,2185
139,0180C2400,6,12,28,53,370.8,422.6,1630
140,0180C2410,18,17,27,37,315.1,332.5,1635
141,0180C2420,26,28,27,20,257.0,281.3,1749
142,0180C2430,16,25,30,30,291.8,312.8,2204
143,0180C2440,19,23,32,27,285.7,304.6,2259
144,0180C2450,15,17,26,43,331.5,369.9,1404
145,0180C2460,18,21,29,32,297.2,324.2,2278
146,0180C2470,30,27,24,19,247.3,269.8,1646
147,0180C2480,20,24,27,29,283.3,310.2,1809
148,0180C2490,16,20,29,35,316.0,342.4,1670
149,0180C2500,45,29,17,9,203.0,222.3,1769
150,0180C2510,18,23,31,28,289.6,314.2,1814
151,0180C2520,23,23,24,29,281.8,305.5,1366
152,0180C2530,14,20,30,35,315.5,335.8,1896
153,0180C2540,16,20,28,36,310.1,343.1,2107
154,0180C2550,36,26,22,15,231.9,247.8,1863
155,0180C2560,13,17,29,41,323.9,343.0,1525
156,0180C2570,7,15,32,46,348.0,399.3,1985
157,0180C2580,4,8,23,65,418.6,537.1,1991
158,0180C2590,15,21,25,39,316.5,342.4,1871
159,0180C2600,5,7,21,67,416.3,488.4,1568
160,0180C2610,14,14,29,43,331.6,369.5,1903
161,0180C2620,15,16,27,42,330.2,357.5,2485
162,0180C2630,12,16,32,40,331.0,362.0,1580
163,0180C2640,10,10,22,58,392.3,483.9,1719
164,0180C2650,19,20,27,35,302.7,326.1,1446
165,0180C2660,14,16,31,39,327.7,337.3,1459
166,0180C2670,16,18,28,37,316.1,329.4,1628
167,0180C2680,18,24,29,29,290.2,321.2,1790
168,0180C2690,15,20,27,38,313.7,338.4,1706
169,0180C2700,19,20,28,33,299.7,327.7,2068
170,0180C2710,14,18,29,38,312.8,359.8,1990
171,0180C2720,20,20,28,33,301.0,316.3,1603
172,0180C2730,21,23,28,28,282.5,306.9,1775
173,0180C2740,17,18,26,38,315.6,344.7,1746
174,0180C2750,14,21,28,37,315.2,361.0,1800
175,0180C2760,17,25,29,29,287.7,320.9,1424
176,0180C2770,17,20,25,39,312.1,336.1,1887
